iter	Passed	Remaining
398	2523	3800
399	2524	3786
400	2525	3772
401	2526	3758
402	2528	3745
403	2529	3732
404	2530	3718
405	2532	3704
406	2533	3690
407	2534	3677
408	2535	3663
409	2536	3650
410	2537	3636
411	2538	3623
412	2539	3609
413	2540	3596
414	2542	3584
415	2544	3571
416	2545	3558
417	2546	3545
418	2547	3532
419	2548	3519
420	2549	3506
421	2550	3493
422	2551	3481
423	2553	3468
424	2554	3455
425	2555	3442
426	2555	3429
427	2558	3419
428	2559	3407
429	2560	3394
430	2561	3382
431	2562	3369
432	2564	3357
433	2565	3345
434	2566	3333
435	2567	3321
436	2568	3309
437	2569	3297
438	2570	3285
439	2573	3274
440	2574	3263
441	2575	3251
442	2576	3240
443	2577	3228
444	2578	3216
445	2579	3204
446	2580	3192
447	2582	3181
448	2583	3169
449	2584	3158
450	2585	3147
451	2588	3138
452	2589	3127
453	2590	3115
454	2591	3104
455	2592	3093
456	2593	3082
457	2595	3070
458	2596	3059
459	2597	3048
460	2598	3038
461	2599	3026
462	2600	3015
463	2602	3006
464	2604	2996
465	2605	2985
466	2606	2974
467	2607	2963
468	2608	2953
469	2609	2942
470	2610	2931
471	2611	2921
472	2612	2910
473	2613	2899
474	2614	2889
475	2615	2878
476	2617	2869
477	2618	2859
478	2619	2849
479	2620	2839
480	2621	2829
481	2623	2818
482	2624	2808
483	2624	2798
484	2625	2788
485	2627	2778
486	2628	2768
487	2629	2758
488	2630	2748
489	2633	2741
490	2635	2731
491	2636	2722
492	2637	2712
493	2638	2702
494	2639	2692
495	2640	2682
496	2641	2673
497	2642	2663
498	2643	2654
499	2644	2644
500	2645	2634
501	2648	2627
502	2649	2618
503	2652	2610
504	2654	2601
505	2655	2592
506	2656	2583
507	2658	2574
508	2659	2565
509	2660	2556
510	2665	2550
511	2666	2541
512	2667	2532
513	2668	2523
514	2669	2514
515	2670	2505
516	2671	2496
517	2672	2486
518	2673	2477
519	2674	2468
520	2675	2459
521	2677	2452
522	2679	2443
523	2680	2435
524	2681	2426
525	2682	2417
526	2683	2408
527	2684	2399
528	2685	2390
529	2686	2382
530	2687	2373
531	2688	2364
532	2689	2356
533	2690	2347
534	2694	2341
535	2695	2333
536	2696	2324
537	2698	2317
538	2700	2309
539	2701	2301
540	2702	2293
541	2704	2285
542	2705	2276
543	2706	2268
544	2709	2261
545	2710	2253
546	2711	2245
547	2712	2237
548	2713	2229
549	2715	2221
550	2716	2213
551	2717	2205
552	2718	2197
553	2720	2190
554	2721	2182
555	2724	2175
556	2725	2167
557	2726	2160
558	2727	2152
559	2728	2144
560	2729	2136
561	2730	2128
562	2731	2120
563	2733	2112
564	2734	2105
565	2735	2097
566	2736	2089
567	2737	2082
568	2739	2075
569	2740	2067
570	2741	2060
571	2742	2052
572	2743	2044
573	2745	2037
574	2746	2030
575	2748	2022
576	2749	2015
577	2750	2008
578	2751	2000
579	2754	1994
580	2755	1987
581	2756	1979
582	2757	1972
583	2758	1965
584	2759	1957
585	2760	1950
586	2761	1943
587	2762	1935
588	2763	1928
589	2765	1921
590	2766	1914
591	2768	1908
592	2770	1901
593	2771	1894
594	2772	1887
595	2773	1880
596	2774	1872
597	2775	1866
598	2777	1859
599	2778	1852
600	2779	1845
601	2780	1838
602	2781	1831
603	2783	1824
604	2784	1817
605	2785	1810
606	2786	1803
607	2787	1796
608	2788	1790
609	2789	1783
610	2790	1776
611	2791	1769
612	2792	1762
613	2793	1756
614	2794	1749
615	2797	1743
616	2798	1737
617	2799	1730
618	2801	1724
619	2802	1717
620	2803	1711
621	2805	1704
622	2806	1698
623	2807	1691
624	2809	1685
625	2810	1679
626	2813	1674
627	2815	1667
628	2816	1661
629	2817	1654
630	2819	1648
631	2820	1642
632	2821	1635
633	2822	1629
634	2824	1623
635	2826	1617
636	2828	1611
637	2829	1605
638	2831	1599
639	2832	1593
640	2834	1587
641	2835	1581
642	2837	1575
643	2838	1569
644	2839	1562
645	2842	1557
646	2844	1551
647	2845	1545
648	2847	1539
649	2848	1533
650	2849	1527
651	2850	1521
652	2852	1515
653	2853	1509
654	2854	1503
655	2857	1498
656	2859	1492
657	2860	1486
658	2861	1480
659	2862	1474
660	2864	1468
661	2865	1462
662	2866	1457
663	2867	1451
664	2868	1445
665	2869	1439
666	2872	1433
667	2873	1428
668	2874	1422
669	2875	1416
670	2876	1410
671	2877	1404
672	2878	1398
673	2879	1392
674	2880	1386
675	2881	1381
676	2882	1375
677	2883	1369
678	2884	1363
679	2887	1359
680	2889	1353
681	2890	1347
682	2891	1342
683	2893	1336
684	2894	1331
685	2895	1325
686	2897	1319
687	2898	1314
688	2899	1308
689	2901	1303
690	2902	1298
691	2904	1292
692	2905	1287
693	2906	1281
694	2907	1276
695	2909	1270
696	2910	1265
697	2911	1259
698	2912	1254
699	2914	1249
700	2915	1243
701	2917	1238
702	2918	1232
703	2919	1227
704	2920	1222
705	2922	1216
706	2923	1211
707	2924	1206
708	2925	1200
709	2928	1196
710	2930	1190
711	2931	1185
712	2932	1180
713	2933	1174
714	2934	1169
715	2935	1164
716	2936	1158
717	2937	1153
718	2938	1148
719	2939	1143
720	2942	1138
721	2944	1133
722	2945	1128
723	2946	1123
724	2947	1117
725	2948	1112
726	2949	1107
727	2950	1102
728	2951	1097
729	2953	1092
730	2954	1087
731	2955	1081
732	2958	1077
733	2959	1072
734	2960	1067
735	2961	1062
736	2962	1057
737	2963	1052
738	2964	1047
739	2965	1042
740	2967	1037
741	2968	1032
742	2969	1027
743	2972	1022
744	2973	1017
745	2974	1012
746	2975	1007
747	2977	1003
748	2978	998
749	2979	993
750	2980	988
